                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.41343,                0.50184,                0.96519,                0.86015,              0.0033315,              0.0033315,              0.0033315
                      1,                 0.3081,                0.60911,                0.98415,                0.80968,              0.0065988,              0.0065988,              0.0065988
                      2,                0.26892,                0.63247,                 0.9874,                0.80072,              0.0098002,              0.0098002,              0.0098002
                      3,                 0.2503,                0.65808,                0.98981,                0.78781,               0.009703,               0.009703,               0.009703
                      4,                0.22855,                0.66898,                0.98953,                 0.7716,               0.009703,               0.009703,               0.009703
                      5,                 0.2142,                0.67252,                0.99123,                0.77239,               0.009604,               0.009604,               0.009604
                      6,                0.20028,                 0.6878,                0.99278,                0.76708,               0.009505,               0.009505,               0.009505
                      7,                0.19121,                0.69332,                0.99307,                 0.7626,               0.009406,               0.009406,               0.009406
                      8,                0.18169,                0.68639,                0.99193,                0.76171,               0.009307,               0.009307,               0.009307
                      9,                0.17536,                0.70082,                0.99193,                0.75447,               0.009208,               0.009208,               0.009208
                     10,                0.16709,                0.70011,                0.99123,                0.74958,               0.009109,               0.009109,               0.009109
                     11,                0.16101,                0.69841,                0.99349,                0.75058,                0.00901,                0.00901,                0.00901
                     12,                0.15316,                0.70379,                0.99363,                0.74618,               0.008911,               0.008911,               0.008911
                     13,                0.14747,                0.71497,                0.99222,                0.74159,               0.008812,               0.008812,               0.008812
                     14,                0.14164,                0.71101,                0.99264,                0.74009,               0.008713,               0.008713,               0.008713
                     15,                0.13666,                0.71497,                0.99179,                0.73803,               0.008614,               0.008614,               0.008614
                     16,                0.13254,                0.71823,                0.99108,                0.73672,               0.008515,               0.008515,               0.008515
                     17,                0.12622,                0.71639,                0.99052,                0.73422,               0.008416,               0.008416,               0.008416
                     18,                0.12393,                 0.7195,                0.99207,                0.73283,               0.008317,               0.008317,               0.008317
                     19,                 0.1173,                0.71823,                0.99123,                 0.7312,               0.008218,               0.008218,               0.008218
                     20,                0.11627,                0.72078,                0.99264,                0.73046,               0.008119,               0.008119,               0.008119
                     21,                0.11206,                0.72276,                0.99165,                0.72873,                0.00802,                0.00802,                0.00802
                     22,                0.10648,                0.72955,                 0.9908,                0.72685,               0.007921,               0.007921,               0.007921
                     23,                0.10162,                0.72729,                0.99066,                 0.7251,               0.007822,               0.007822,               0.007822
                     24,                0.09953,                0.73068,                0.99137,                0.72431,               0.007723,               0.007723,               0.007723
                     25,                0.09631,                0.72927,                 0.9908,                0.72442,               0.007624,               0.007624,               0.007624
                     26,                 0.0917,                0.72927,                0.99038,                 0.7232,               0.007525,               0.007525,               0.007525
                     27,                0.09006,                0.73238,                0.99009,                0.72205,               0.007426,               0.007426,               0.007426
                     28,                0.08587,                0.72955,                0.99123,                 0.7214,               0.007327,               0.007327,               0.007327
                     29,                0.08285,                0.73295,                0.99193,                0.72056,               0.007228,               0.007228,               0.007228
                     30,                0.08147,                 0.7338,                0.99137,                0.72011,               0.007129,               0.007129,               0.007129
                     31,                0.07794,                0.73507,                0.99108,                 0.7197,                0.00703,                0.00703,                0.00703
                     32,                0.07626,                0.73535,                0.99066,                0.71931,               0.006931,               0.006931,               0.006931
                     33,                0.07242,                0.73493,                0.99066,                0.71867,               0.006832,               0.006832,               0.006832
                     34,                0.07102,                0.73705,                0.99052,                0.71801,               0.006733,               0.006733,               0.006733
                     35,                0.06955,                0.73535,                0.99023,                0.71766,               0.006634,               0.006634,               0.006634
                     36,                  0.068,                 0.7345,                0.99023,                0.71749,               0.006535,               0.006535,               0.006535
                     37,                0.06522,                0.73564,                0.99123,                0.71733,               0.006436,               0.006436,               0.006436
                     38,                0.06313,                0.73648,                0.99108,                0.71708,               0.006337,               0.006337,               0.006337
                     39,                0.06048,                0.73804,                0.99151,                0.71692,               0.006238,               0.006238,               0.006238
                     40,                0.05793,                0.73677,                0.99151,                0.71684,               0.006139,               0.006139,               0.006139
                     41,                0.05678,                0.73578,                0.99123,                0.71675,                0.00604,                0.00604,                0.00604
                     42,                0.05524,                0.73521,                0.99094,                 0.7166,               0.005941,               0.005941,               0.005941
